song,artist,proper_date,popularity,position,gap_days,prev_pop,popularity_jump,rank_jump,album_type,is_explicit
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,2024-12-03,75,38,6.0,71.0,4.0,-10.0,single,False
3D (feat. Jack Harlow),Jung Kook,2025-03-15,83,6,2.0,83.0,0.0,-1.0,album,True
3D (feat. Jack Harlow),Jung Kook,2025-03-26,82,5,2.0,82.0,0.0,-1.0,album,True
3D (feat. Jack Harlow),Jung Kook,2025-07-12,78,10,2.0,78.0,0.0,1.0,album,True
3D (feat. Jack Harlow),Jung Kook,2025-08-14,79,5,2.0,79.0,0.0,0.0,album,True
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,2024-10-09,60,50,4.0,55.0,5.0,-22.0,album,False
A Psalm of Life,Lim Young Woong,2024-10-16,57,50,132.0,56.0,1.0,0.0,album,False
A Psalm of Life,Lim Young Woong,2024-10-19,57,49,3.0,,,,album,False
A Psalm of Life,Lim Young Woong,2024-10-21,57,45,2.0,,,,album,False
A Psalm of Life,Lim Young Woong,2025-02-11,58,49,2.0,59.0,-1.0,-4.0,album,False
A Psalm of Life,Lim Young Woong,2025-02-19,58,45,7.0,58.0,0.0,5.0,album,False
A Psalm of Life,Lim Young Woong,2025-02-26,58,46,6.0,58.0,0.0,-1.0,album,False
A bientot,Lim Young Woong,2024-06-09,58,44,2.0,58.0,0.0,-3.0,album,False
A bientot,Lim Young Woong,2024-06-22,58,46,2.0,58.0,0.0,2.0,album,False
A bientot,Lim Young Woong,2024-07-11,59,47,7.0,58.0,1.0,0.0,album,False
A bientot,Lim Young Woong,2024-07-13,59,50,2.0,,,,album,False
A bientot,Lim Young Woong,2024-07-17,59,50,4.0,,,,album,False
A bientot,Lim Young Woong,2024-07-23,58,50,5.0,59.0,-1.0,0.0,album,False
A bientot,Lim Young Woong,2024-08-04,57,50,10.0,58.0,-1.0,-4.0,album,False
A bientot,Lim Young Woong,2024-08-06,57,49,2.0,,,,album,False
A bientot,Lim Young Woong,2024-08-28,57,49,16.0,57.0,0.0,-5.0,album,False
A bientot,Lim Young Woong,2024-09-03,57,50,6.0,,,,album,False
A bientot,Lim Young Woong,2024-09-10,57,44,6.0,57.0,0.0,2.0,album,False
A bientot,Lim Young Woong,2024-09-19,57,50,5.0,58.0,-1.0,-2.0,album,False
A bientot,Lim Young Woong,2024-09-23,57,49,2.0,57.0,0.0,1.0,album,False
A bientot,Lim Young Woong,2024-09-30,57,50,3.0,57.0,0.0,-2.0,album,False
A bientot,Lim Young Woong,2024-10-09,57,48,4.0,57.0,0.0,-1.0,album,False
A bientot,Lim Young Woong,2024-10-13,57,45,4.0,,,,album,False
A bientot,Lim Young Woong,2025-03-15,57,38,2.0,58.0,-1.0,1.0,album,False
