song,artist,proper_date,position,popularity,album_type,is_explicit,duration_min,prev_date,gap_days,entry_type
1-800-hot-n-fun,"LE SSERAFIM",2025-09-01,26,64,single,FALSE,2.89,NULL,NULL,first_entry
1-800-hot-n-fun,"LE SSERAFIM",2025-09-02,28,68,single,FALSE,2.89,2025-09-01,1,continuing
1-800-hot-n-fun,"LE SSERAFIM",2025-09-03,28,70,single,FALSE,2.89,2025-09-02,1,continuing
1-800-hot-n-fun,"LE SSERAFIM",2025-09-04,32,72,single,FALSE,2.89,2025-09-03,1,continuing
1-800-hot-n-fun,"LE SSERAFIM",2025-09-05,45,73,single,FALSE,2.89,2025-09-04,1,continuing
1-800-hot-n-fun,"LE SSERAFIM",2025-09-06,45,73,single,FALSE,2.89,2025-09-05,1,continuing
1-800-hot-n-fun,"LE SSERAFIM",2025-09-07,49,74,single,FALSE,2.89,2025-09-06,1,continuing
1-800-hot-n-fun,"LE SSERAFIM",2025-09-08,49,75,single,FALSE,2.89,2025-09-07,1,continuing
"24YB (Intro)",YANGHONGWON,2025-05-26,26,38,album,FALSE,1.39,NULL,NULL,first_entry
"24YB (Intro)",YANGHONGWON,2025-05-27,28,42,album,FALSE,1.39,2025-05-26,1,continuing
"24YB (Intro)",YANGHONGWON,2025-05-28,37,44,album,FALSE,1.39,2025-05-27,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-02,5,78,single,FALSE,2.71,NULL,NULL,first_entry
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-03,5,80,single,FALSE,2.71,2024-10-02,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-04,10,54,album,FALSE,2.71,2024-10-03,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-05,10,59,album,FALSE,2.71,2024-10-04,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-06,15,62,album,FALSE,2.71,2024-10-05,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-07,22,64,album,FALSE,2.71,2024-10-06,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-08,26,65,album,FALSE,2.71,2024-10-07,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-09,22,66,album,FALSE,2.71,2024-10-08,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-10,32,67,album,FALSE,2.71,2024-10-09,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-11,32,67,album,FALSE,2.71,2024-10-10,1,continuing
"3D (Alternate Ver.)","Jung Kook & Jack Harlow",2024-10-12,23,67,album,FALSE,2.71,2024-10-11,1,continuing
