song,artist,album_type,is_explicit,total_days_on_chart,total_reentries,avg_gap_before_reentry,avg_popularity,avg_duration_min,reentry_frequency,fandom_intensity_score
1-800-hot-n-fun,LE SSERAFIM,single,False,8,0,0.0,71.125,2.89,0.0,27.29
24YB (Intro),YANGHONGWON,album,False,3,0,0.0,41.333333333333336,1.39,0.0,15.37
3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,18,0,0.0,66.83333333333333,2.71,0.0,28.79
3D (Alternate Ver.),Jung Kook & Jack Harlow,single,False,2,0,0.0,79.0,2.71,0.0,28.25
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,single,False,6,1,6.0,60.833333333333336,2.68,5.0,23.44
3D (feat. Jack Harlow),Jung Kook,album,True,309,4,2.0,79.8284789644013,3.36,0.39,122.04
3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,108,0,0.0,86.1574074074074,3.36,0.0,62.56
3D (feat. Jack Harlow),Jung Kook & Jack Harlow,single,True,4,0,0.0,43.5,3.36,0.0,16.42
3D (feat. Jack Harlow) (Alternate Ver.),Jung Kook & Jack Harlow,single,False,2,0,0.0,0.0,2.71,0.0,0.6
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,album,False,7,1,4.0,59.0,3.3300000000000005,4.29,23.1
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,single,False,4,0,0.0,36.5,3.33,0.0,13.97
3D (feat. Jack Harlow) (MK Remix),Jung Kook & Jack Harlow & MK,single,True,4,0,0.0,30.0,3.1,0.0,11.7
990 (Feat. Kim Ximya),Beenzino,album,True,5,0,0.0,46.4,3.56,0.0,17.74
A Psalm of Life,Lim Young Woong,album,False,121,6,25.3,59.1900826446281,3.89,1.49,59.12
A Yo (Feat. Beenzino),E SENS,album,False,1,0,0.0,38.0,3.87,0.0,13.6
A bientot,Lim Young Woong,album,False,282,24,7.2,58.773049645390074,4.27,2.55,113.57
ABCD,NAYEON,album,False,26,1,2.0,60.88461538461539,2.71,1.15,29.46
AK47,Men's Tear & 뷰티풀너드,single,False,25,2,2.0,49.76,2.68,2.4,25.62
ALL RED,Playboi Carti,single,True,3,0,0.0,83.66666666666667,2.47,0.0,30.18
ANTIFRAGILE,LE SSERAFIM,album,False,50,1,13.0,77.4,3.07,0.6,42.44
APT.,ROSÉ & Bruno Mars,single,False,39,0,0.0,94.71794871794872,2.83,0.0,44.85
ASAP,NewJeans,single,False,44,0,0.0,85.1590909090909,2.24,0.0,43.01
Accendio,IVE,single,False,2,0,0.0,59.5,3.2,0.0,21.42
After LIKE,IVE,single,False,48,0,0.0,84.27083333333333,2.9500000000000006,0.0,43.89
All I Want for Christmas Is You,Mariah Carey,album,False,12,1,6.0,99.75,4.02,2.5,38.86
All Or Nothing,J Money & KingLee,single,True,2,1,26.0,48.5,2.86,15.0,17.92
Allergy,(G)I-DLE,single,False,25,0,0.0,75.48,2.71,0.0,33.92
Alone,Jimin,single,False,408,6,4.7,77.98529411764706,3.52,0.44,151.79
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Fast & Furious: The Fast Saga,compilation,False,1,0,0.0,27.0,2.93,0.0,9.75
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,single,False,217,0,0.0,82.07373271889401,2.93,0.0,93.83
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,single,False,87,4,37.0,71.55172413793103,1.05,1.38,52.54
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,single,False,65,3,26.3,73.12307692307692,2.94,1.38,46.14
Another Level,Jin,album,False,7,0,0.0,54.57142857142857,2.71,0.0,21.2
Another Level,Jin,single,False,4,0,0.0,72.0,2.71,0.0,26.4
Armageddon,aespa,album,False,178,5,2.0,74.16292134831461,3.2700000000000005,0.84,81.11
Armageddon,aespa & Grimes & Flava D,single,False,2,1,15.0,18.0,3.27,15.0,7.25
As You Wish,WJSN,single,False,2,0,0.0,52.5,3.26,0.0,18.98
Attention,NewJeans,single,False,151,10,26.7,82.33112582781457,3.0,1.99,77.62
Attention (250 Remix),NewJeans,album,False,1,0,0.0,58.0,3.02,0.0,20.6
BACK TO ME,Kanye West & Ty Dolla $ign,album,True,2,0,0.0,82.0,4.92,0.0,29.3
BAHAMA,aespa,album,False,1,0,0.0,56.0,3.18,0.0,19.9
BIRDS OF A FEATHER,Billie Eilish,album,False,185,3,2.0,97.48648648648648,3.5099999999999993,0.49,90.67
BURN,Kanye West & Ty Dolla $ign,album,True,1,0,0.0,80.0,1.86,0.0,28.3
"BY COLOR, WHITE COLOR (Feat. KOVV)",YANGHONGWON,album,False,3,0,0.0,39.333333333333336,3.27,0.0,14.67
Baddie,IVE,single,False,62,3,14.0,78.40322580645162,2.57,1.45,47.09
Baggy Jeans,NCT,album,False,24,1,7.0,61.291666666666664,3.52,1.25,29.0
Bam Yang Gang,BIBI,single,False,77,3,3.0,74.33766233766234,2.44,1.17,50.17
Be Mine,Jimin,album,False,129,1,2.0,80.11627906976744,3.46,0.23,67.09
Beautiful Things,Benson Boone,album,False,24,0,0.0,81.75,3.01,0.0,35.81
Beautiful Things,Benson Boone,single,False,62,4,2.0,98.41935483870968,3.01,1.94,54.45
Better Things,aespa,single,False,32,2,9.5,76.4375,3.39,1.88,37.05
Big Dawgs,Hanumankind & Kalmi,single,True,6,1,2.0,92.0,3.18,5.0,34.35
Bite Me,ENHYPEN,single,False,23,1,4.0,84.91304347826087,2.63,1.3,36.97
Bling-Bang-Bang-Born,Creepy Nuts,single,False,43,4,6.8,90.4186046511628,2.8,2.79,45.95
Blue,V,single,False,67,4,15.2,84.14925373134328,2.5,1.79,50.95
Boat,george,single,False,3,0,0.0,58.0,3.2000000000000006,0.0,21.2
Boom Boom Bass,RIIZE,album,False,95,4,2.0,65.33684210526316,2.55,1.26,52.77
"Boys Like Girls (Feat. Gist, Jayci yucca)",Leellamarz,album,False,5,0,0.0,26.2,2.44,0.0,10.67
Broken Melodies,NCT DREAM,album,False,2,1,20.0,56.0,3.77,15.0,20.55
Broken Melodies,NCT DREAM,single,False,10,0,0.0,68.7,3.7700000000000005,0.0,27.04
Bubble,STAYC,single,False,1,0,0.0,58.0,2.99,0.0,20.6
Bubble Gum,NewJeans,single,False,128,7,3.0,77.8984375,3.34,1.64,68.11
Bubble Gum (Instrumental),NewJeans,single,False,1,0,0.0,52.0,3.34,0.0,18.5
But Daddy I Love Him,Taylor Swift,album,True,2,0,0.0,81.0,5.67,0.0,28.95
But Sometimes,BOYNEXTDOOR,single,False,19,1,4.0,66.63157894736842,2.92,1.58,29.37
CARNIVAL,Kanye West & Ty Dolla $ign,album,True,3,0,0.0,85.66666666666667,4.41,0.0,30.88
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,album,True,13,3,7.3,87.07692307692308,4.41,6.92,35.43
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,single,True,1,0,0.0,0.0,4.41,0.0,0.3
CHIHIRO,Billie Eilish,album,False,4,1,4.0,83.5,5.06,7.5,30.78
CRAZY,LE SSERAFIM,album,False,80,1,2.0,77.3375,2.74,0.38,51.42
CRAZY,LE SSERAFIM,single,False,3,0,0.0,73.66666666666667,2.74,0.0,26.68
CROOKED,G-DRAGON,album,False,7,2,10.5,61.714285714285715,3.75,8.57,24.4
Camp,Beenzino,album,True,2,0,0.0,40.0,3.67,0.0,14.6
Candy (Feat. Zion.T),Jay Park,single,False,7,3,3.7,61.0,3.1,12.86,24.5
Chasing Lightning,LE SSERAFIM,single,False,1,0,0.0,60.0,3.42,0.0,21.3
Chasing That Feeling,TOMORROW X TOGETHER,album,False,5,0,0.0,45.0,3.04,0.0,17.25
Cheers to youth,SEVENTEEN,album,False,3,0,0.0,63.333333333333336,3.19,0.0,23.07
Chemical,Post Malone,single,True,1,0,0.0,91.0,3.07,0.0,32.15
Cherish (My Love),ILLIT,single,False,36,0,0.0,66.97222222222223,2.95,0.0,34.24
Chill Kill,Red Velvet,album,False,17,0,0.0,72.23529411764706,3.58,0.0,30.38
Chk Chk Boom,Stray Kids,album,False,17,1,4.0,64.23529411764706,2.47,1.76,27.93
Christmas Love,Jimin,single,False,29,14,12.8,69.72413793103448,3.3,14.48,38.0
Christmas Tree,V,single,False,72,1,9.0,83.20833333333333,3.5,0.42,51.07
Christmas Without You,Ava Max,single,False,3,0,0.0,85.0,2.82,0.0,30.65
Circles,Post Malone,album,False,2,0,0.0,89.0,3.59,0.0,31.75
Citi+,YANGHONGWON,single,False,1,0,0.0,40.0,2.53,0.0,14.3
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,single,False,4,1,4.0,56.75,2.77,7.5,21.41
Closer Than This,Jimin,album,False,129,1,2.0,74.30232558139535,3.72,0.23,65.06
Closer Than This,Jimin,single,False,207,3,2.0,84.70531400966183,3.72,0.43,92.8
Closer to You (feat. Major Lazer),Jung Kook,album,False,60,13,13.1,82.98333333333333,2.85,6.5,51.59
Coca Cola Red (Feat. oygli),Beenzino,album,True,5,0,0.0,46.0,3.34,0.0,17.6
Combo,RIIZE,album,False,2,0,0.0,38.0,3.66,0.0,13.9
Come back to me,RM,album,False,1,1,10.0,63.0,6.48,30.0,22.7
Come back to me,RM,single,False,5,0,0.0,74.4,6.480000000000001,0.0,27.54
Cool With You,NewJeans,single,False,86,1,4.0,86.96511627906976,2.46,0.35,56.59
Cosmic,Red Velvet,single,False,25,1,2.0,69.8,3.76,1.2,32.28
Crazier,LE SSERAFIM,single,False,1,0,0.0,61.0,2.98,0.0,21.65
Cream Soda,EXO,album,False,2,0,0.0,75.5,3.09,0.0,27.02
"Crime (Feat. Bek Hyunjin, 250)",Beenzino,album,True,2,0,0.0,40.0,3.6,0.0,14.6
Cruel Summer,Taylor Swift,album,False,251,16,13.1,97.41035856573706,2.97,1.91,114.99
Cupid,FIFTY FIFTY,single,False,52,1,5.0,87.76923076923077,2.8999999999999995,0.58,46.67
Cupid - Twin Ver.,FIFTY FIFTY,single,False,65,3,6.3,98.21538461538462,2.9,1.38,54.93
Cupido,Engel Montaz & Kuv507 & Latinnites Music,single,False,4,1,2.0,69.0,3.58,7.5,25.7
DASH,NMIXX,album,False,56,0,0.0,77.82142857142857,2.78,0.0,44.04
DELRESTO (ECHOES),Travis Scott,album,True,1,0,0.0,0.0,4.57,0.0,0.3
DIE 4 YOU,DEAN,single,False,28,0,0.0,71.57142857142857,3.23,0.0,33.45
DO IT,Kanye West & Ty Dolla $ign,album,True,1,0,0.0,78.0,3.75,0.0,27.6
DRIP,BABYMONSTER,album,False,24,0,0.0,76.25,3.01,0.0,33.89
Dance The Night (From Barbie The Album),Dua Lipa,single,False,18,3,18.3,95.33333333333333,2.94,5.0,39.82
Dancing In The Flames,The Weeknd,single,False,7,0,0.0,82.0,3.6699999999999995,0.0,30.8
Dangerous,BOYNEXTDOOR,album,False,5,0,0.0,55.8,2.4,0.0,21.03
Dangerous,BOYNEXTDOOR,single,False,7,0,0.0,61.57142857142857,2.4,0.0,23.65
Dangerously,Charlie Puth,album,False,28,4,5.2,52.82142857142857,3.32,4.29,28.29
Dare to Love (feat. BIG Naughty),B.I,album,False,8,1,3.0,63.75,2.93,3.75,25.06
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",album,True,2,0,0.0,79.0,4.23,0.0,28.25
Deja Vu,TOMORROW X TOGETHER,album,False,28,0,0.0,82.21428571428571,2.86,0.0,37.17
Demon,$ecrecy,album,True,1,0,0.0,38.0,2.32,0.0,13.6
Deseydin Anlardım,EDES,single,False,2,0,0.0,1.0,2.51,0.0,0.95
Die With A Smile,Lady Gaga & Bruno Mars,single,False,103,0,0.0,96.80582524271844,4.19,0.0,64.78
Discord,QWER,single,False,5,1,3.0,58.4,2.8,6.0,22.29
Ditto,NewJeans,single,False,374,27,7.0,84.05882352941177,3.0899999999999994,2.17,151.07
Ditto (250 Remix),NewJeans,album,False,2,0,0.0,58.5,3.36,0.0,21.08
Do or Die,Lim Young Woong,single,False,390,7,3.4,65.70769230769231,3.42,0.54,142.45
Don't Look Back In Anger - Remastered,Oasis,album,False,2,1,2.0,77.5,4.83,15.0,28.08
Don't Look Back in Anger - Remastered,Oasis,album,False,5,2,2.0,73.6,4.83,12.0,27.96
Dopamine - GISELLE Solo,aespa,single,False,1,0,0.0,63.0,3.23,0.0,22.35
Dope As (Interlude),Beenzino,album,True,2,0,0.0,41.5,1.12,0.0,15.12
Down Bad,Taylor Swift,album,True,5,0,0.0,83.6,4.35,0.0,30.76
Drama,aespa,album,False,224,8,15.1,84.23214285714286,3.5800000000000005,1.07,99.48
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,single,False,161,4,7.5,84.7888198757764,3.3600000000000003,0.75,79.38
Drowning,WOODZ,single,False,7,2,2.5,60.285714285714285,4.08,8.57,23.9
EASY,LE SSERAFIM,single,False,142,10,6.1,84.33098591549296,2.74,2.11,75.62
ENGLAND,YANGHONGWON,album,False,4,0,0.0,42.0,2.57,0.0,15.9
ETA,NewJeans,single,False,341,18,8.3,83.40469208211144,2.52,1.58,137.79
"Earth, Wind & Fire",BOYNEXTDOOR,album,False,25,0,0.0,70.52,2.98,0.0,32.18
Either Way,IVE,single,False,38,0,0.0,76.86842105263158,2.78,0.0,38.3
Elevator,Lim Young Woong,single,False,6,3,6.7,55.333333333333336,3.4599999999999995,15.0,22.22
Espresso,Sabrina Carpenter,album,True,13,0,0.0,84.84615384615384,2.92,0.0,33.6
Espresso,Sabrina Carpenter,single,True,163,2,2.0,97.37423312883436,2.92,0.37,83.68
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,album,False,131,0,0.0,84.03053435114504,3.09,0.0,68.71
Even for a moment,Sung Si Kyung & Naul,single,False,1,0,0.0,0.0,4.89,0.0,0.3
Event Horizon,Younha,album,False,1,0,0.0,64.0,5.01,0.0,22.7
Every Moment With You,JAESSBEE,single,False,8,0,0.0,46.0,2.87,0.0,18.5
FE!N,Travis Scott,album,True,3,0,0.0,57.0,3.2000000000000006,0.0,20.85
FE!N (feat. Playboi Carti),Travis Scott,album,True,3,0,0.0,90.0,3.2000000000000006,0.0,32.4
